student_id,student_name,email,group_name,course_code,course_name,teacher_name,exam_type,grade,exam_date
1,Ana Popescu,ana@mail.com,Java-01,DB101,Databases,Mihai Lupu,TEST,1.7,2026-06-22
2,Ion Ceban,ion@mail.com,Java-01,JAVA101,Java Fundamentals,Irina Rusu,FINAL,7.8,2026-06-20
1,Ana Popescu,ana1@mail.com,Excel,EX101,Excel,Laura,TEST,8.7,2026-06-22
1,Ana Popescu,ana1@mail.com,Java-01,DB101,Databases,Mihai Lupu,TEST,8.7,2026-06-22
1,Ana Popescu,ana1@mail.com,Java-01,DB101,Databases,Mihai Lupu,TEST,7.7,2026-06-22
1,Ana Popescu,ana1@mail.com,Java-01,DB101,Databases,Mihai Lupu,TEST,8.7,2026-06-22
1,Ana Popescu,ana1@mail.com,Java-01,DB101,Databases,Mihai Lupu,TEST,1.7,2026-06-22
1,Ana Popescu,ana1@mail.com,Java-01,DB101,Databases,Mihai Lupu,TEST,1.7,2026-06-22
2,Ion Ceban,ion@mail.com,Excel,EX101,Excel, Laura,FINAL,7.8,2026-06-20
2,Ion Ceban,ion@mail.com,Java-01,JAVA101,Java Fundamentals,Irina Rusu,FINAL,7.8,2026-06-20
2,Ion Ceban,ion@mail.com,Java-01,JAVA101,Java Fundamentals,Irina Rusu,FINAL,7.8,2026-06-20
2,Ion Ceban,ion@mail.com,Java-01,JAVA101,Java Fundamentals,Irina Rusu,FINAL,7.8,2026-06-20
